source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
4421573384179655424,229.64945809474966,13.606496113411662,2.1018560435082128,23.1840031275523,,,18.408304,0.6922569,,,"NOT_AVAILABLE",,
4421478104620419200,229.63214803557563,1.3358931758240318,2.034312539921908,0.8038763194262657,,,19.606764,,,,"NOT_AVAILABLE",,
4421571975424904448,229.64767382382047,0.3420115168778835,2.0444978495704587,0.18248089039446602,-0.12197868885276689,0.1938853541470572,18.083094,0.6660137,,,"NOT_AVAILABLE",,
4421572147228535808,229.64338149594133,1.3361081837265967,2.0758941261312507,3.1624644752437687,,,16.811247,,,,"NOT_AVAILABLE",,
4421572593903330048,229.67686543689837,1.4213228572205805,2.098418643948702,2.4313765637964195,,,19.117968,0.79424477,,,"NOT_AVAILABLE",,
4421571872350457088,229.6705405281723,2.306451498558668,2.0524770795365397,1.094127745889866,,,19.549156,,,,"NOT_AVAILABLE",,
4421572903138852864,229.63219366563536,0.07204598477284009,2.0854634518484745,0.0598625792495919,-0.25822392644109565,0.07836037066519591,14.954241,0.5484972,,,"VARIABLE",5143.45,
4421572868779266176,229.61706068538058,0.12081114142184132,2.083467374185518,0.11401822674708094,-0.046030390644274645,0.14497120710431557,16.313906,0.920661,,,"NOT_AVAILABLE",5095.6333,
4421573281099017856,229.61014008168442,8.595996074858569,2.1152696627978145,1.0686631899751706,,,19.093102,0.69436455,,,"NOT_AVAILABLE",,
4421572112864023296,229.67026927717333,0.25521690854226564,2.067550210507555,0.16338770525621624,0.2681494164234437,0.2094120298599328,18.306501,0.5297718,,,"NOT_AVAILABLE",,
4421573208084847616,229.63114408862663,0.19485258968549518,2.110076289935263,0.1273184846401571,0.06461271865575102,0.17547633170327095,17.459604,0.7977772,,,"NOT_AVAILABLE",,
4421572009784943488,229.63524444510068,1.0512280445982056,2.0527578926230685,0.6463086390389996,,,17.938772,0.758667,,,"NOT_AVAILABLE",,
4421572834421845632,229.6108581345328,0.8824903629952507,2.0703789616006034,1.3940955732818845,,,18.658192,,,,"NOT_AVAILABLE",,
4421571769269846912,229.66127725580145,1.1124103847268234,2.040677676988738,0.5708456742726374,,,18.661198,0.59272957,,,"NOT_AVAILABLE",,
4421572181584109824,229.65794698713557,0.1389351604021676,2.084452229378503,0.17394384367486124,-0.8087249307020924,0.21544984325239067,16.351698,,,,"NOT_AVAILABLE",,
4421572112864023168,229.67343534213617,0.28663373994170854,2.0694127444520145,0.22658789672926571,0.18380195864505375,0.3093354234844172,18.39201,,,,"NOT_AVAILABLE",,
4421572108573183488,229.6732680728388,0.9396450487433397,2.0716989240907426,0.5574834562100385,,,18.707817,0.64738846,,,"NOT_AVAILABLE",,
4421572593901056256,229.6815485793726,0.39265284567624076,2.1060237055054603,0.5031059264242109,-1.4604244152558226,0.6040899988027851,19.205433,0.62880707,,,"NOT_AVAILABLE",,
4421572009788734848,229.62832742798227,0.5001792865400009,2.050077475551247,0.48439904523126803,,,18.734652,,,,"NOT_AVAILABLE",,
4421572490821145088,229.67809178929474,9.43201288376912,2.0730624330022955,4.168172054472142,,,19.911514,,,,"NOT_AVAILABLE",,
4421572593905723136,229.6807520396131,0.7541545271251693,2.097945407952996,1.2075247491945473,,,19.346153,,,,"NOT_AVAILABLE",,
4421573586041969920,229.63164493833236,0.17203822213382783,2.1146227652841896,0.15017006824574367,-0.1597107943288826,0.19278781838917622,17.401665,0.81110954,,,"NOT_AVAILABLE",,
4421573006218241536,229.6320417238273,0.8127953763700111,2.094887458958625,0.4707380684068574,,,17.73545,0.69258213,,,"NOT_AVAILABLE",,
4421572903142777344,229.63447488457766,53.43011371918485,2.0839691524058517,33.81404260233897,,,16.741892,,,,"NOT_AVAILABLE",,
4421572147224068480,229.64247397587525,0.2499381671392797,2.066760046853615,0.13187845027219441,1.2830886204391516,0.1794163699056012,15.631223,,,,"NOT_AVAILABLE",,
4421572181583921152,229.65406639002106,31.77132897531303,2.083821570696774,15.677444451617896,,,17.677448,,,,"NOT_AVAILABLE",,
4421573281096731136,229.61217367496434,0.9236466023744185,2.1169174898303207,0.42359656574567617,,,18.552046,,,,"NOT_AVAILABLE",,
4421572555249782016,229.673269466617,0.08677803812132868,2.0856175711013725,0.11170765345886215,0.2579242545977914,0.11903995197399841,16.46939,0.94957066,,,"NOT_AVAILABLE",5286.9,
4421572009788734720,229.6342933715079,0.9554887312201472,2.0520546879092305,0.38734617790994347,,,18.777191,,,,"NOT_AVAILABLE",,
4421572937498470016,229.6467085108871,0.20799054386957602,2.0871314464362256,0.29027534204347455,1.5727778772231682,0.30262288086204475,17.499256,,,,"NOT_AVAILABLE",,
4421478929254034176,229.6032727265263,1.099150992834196,2.0546821236927975,1.7944025086119098,,,19.035439,0.65395164,,,"NOT_AVAILABLE",,
4421572765702369152,229.61747544113246,0.8225173641330423,2.0600243792199464,0.790112426128413,,,18.867922,,,,"NOT_AVAILABLE",,
4421572937498439680,229.64754769300484,0.18453508349921877,2.085445444202328,0.24261428214265074,0.5390384973789836,0.2724487330316711,15.962013,,,,"NOT_AVAILABLE",,
4421571799335538048,229.6733262119482,0.05237556085717216,2.045580885056443,0.04491503822740458,0.1280607878328079,0.06112630706602884,16.05824,0.97825813,,,"NOT_AVAILABLE",5424.0,2.225
